Symbol,ClosePrice,Slope,AvgVolume,Trading Days
AINV,7.95,-0.00090051500223923555080857150656470,2061053.1,175
AIR,26.07,-0.00075112841194290946682243781395982,321941.39,193
AIRM,45.3,-0.00054325093602419901803179946853106,413828.48,133
LB,57.54,-0.00031350611040820711627671868448886,2442201.4,225
LBAI,10.68,-0.00099049093949088971855498897411962,72947.131,218
LBBB,1.03,-0.00073828043614145130897619129228815,1621.5164,120
LBF,8.3,0.00096665904855670718720528356016075,16317.008,239
LBIX,4.05,-0.00096102658121063151350216280377481,7833.8115,267
LBTYA,43.96,-0.00081248913741711881447010723533708,3837566.6,399
LBTYB,44.0,-0.00099680142564615792713511588374331,738.72951,397
LBTYK,41.82,-0.00058893254904268665939071070170030,1943550.8,381
